"A1_*Loc","A2_*Loc","A1_Ag","A1_Ag_INAA","A1_Al","A1_Al2O3","A1_As","A1_As_INAA","A1_Au_INAA","A1_B","A1_Ba","A1_Ba_INAA","A1_Be","A1_Bi","A1_Br","A1_Br_INAA","A1_Ca","A1_Ca_INAA","A1_CaO","A1_Cd","A1_Ce_INAA","A1_Cl","A1_Co","A1_Co_INAA","A1_Cond","A1_Cr","A1_Cr_INAA","A1_Cs_INAA","A1_Cu","A1_Eu_INAA","A1_F","A1_F_ionselect","A1_Fe","A1_Fe_INAA","A1_Fe2O3","A1_Hf_INAA","A1_Hg","A1_Hg_INAA","A1_Ir_INAA","A1_K","A1_K2O","A1_La","A1_La_INAA","A1_Li","A1_LOI","A1_Lu_INAA","A1_Mass_INAA","A1_Mg","A1_MgO","A1_Mn","A1_MnO","A1_Mo","A1_Mo_INAA","A1_Na","A1_Na_INAA","A1_Na2O","A1_Nd_INAA","A1_Ni","A1_Ni_INAA","A1_NO2","A1_NO3","A1_P","A1_P2O5","A1_Pb","A1_pH","A1_PO4","A1_Rb","A1_S","A1_Sb","A1_Sb_INAA","A1_Sc","A1_Sc_INAA","A1_Se","A1_Se_INAA","A1_Si","A1_SiO2","A1_Sm_INAA","A1_Sn_INAA","A1_SO4","A1_Sr","A1_Sr_INAA","A1_Sum","A1_Ta_INAA","A1_Tb_INAA","A1_Te","A1_Th","A1_Th_INAA","A1_Ti","A1_TiO2","A1_U_INAA","A1_V","A1_W_INAA","A1_Y","A1_Yb_INAA","A1_Zn","A1_Zn_INAA","A2_Ag","A2_Ag_INAA","A2_Al","A2_Al2O3","A2_As","A2_As_INAA","A2_Au_INAA","A2_B","A2_Ba","A2_Ba_INAA","A2_Be","A2_Bi","A2_Br","A2_Br_INAA","A2_Ca","A2_Ca_INAA","A2_CaO","A2_Cd","A2_Ce_INAA","A2_Cl","A2_Co","A2_Co_INAA","A2_Cond","A2_Cr","A2_Cr_INAA","A2_Cs_INAA","A2_Cu","A2_Eu_INAA","A2_F","A2_F_ionselect","A2_Fe","A2_Fe_INAA","A2_Fe2O3","A2_Hf_INAA","A2_Hg","A2_Hg_INAA","A2_Ir_INAA","A2_K","A2_K2O","A2_La","A2_La_INAA","A2_Li","A2_LOI","A2_Lu_INAA","A2_Mass_INAA","A2_Mg","A2_MgO","A2_Mn","A2_MnO","A2_Mo","A2_Mo_INAA","A2_Na","A2_Na_INAA","A2_Na2O","A2_Nd_INAA","A2_Ni","A2_Ni_INAA","A2_NO2","A2_NO3","A2_P","A2_P2O5","A2_Pb","A2_pH","A2_PO4","A2_Rb","A2_S","A2_Sb","A2_Sb_INAA","A2_Sc","A2_Sc_INAA","A2_Se","A2_Se_INAA","A2_Si","A2_SiO2","A2_Sm_INAA","A2_Sn_INAA","A2_SO4","A2_Sr","A2_Sr_INAA","A2_Sum","A2_Ta_INAA","A2_Tb_INAA","A2_Te","A2_Th","A2_Th_INAA","A2_Ti","A2_TiO2","A2_U_INAA","A2_V","A2_W_INAA","A2_Y","A2_Yb_INAA","A2_Zn","A2_Zn_INAA"
239,235,0.009,2.5,6340,13.41,0.4,0.25,0.001,1.5,32.7,580,0.16,0.015,0.001,3.2,1460,20000,3.57,0.02,45,0.001,4.1,10,2.6,15.1,72,0.5,14.8,1.3,0.0005,0.000001,11200,41300,8,5,0.01,0.5,0.0025,500,1.39,10.6,24,4.6,1.39,0.52,42.03,2370,3.56,91,0.12,0.1,0.5,130,18700,2.94,21,10.2,10,0.0005,0.0005,341,0.08,1.9,5.9,0.002,34,31,0.005,0.05,2,17,0.057,1.5,210,64.38,3.4,50,0.001,6.2,250,99.89,0.25,0.8,0.018,6,4.8,392,1.05,0.25,24.8,0.5,4.3,3.6,18.5,89,0.008,2.5,5690,12.99,0.3,0.25,0.001,1.5,29.6,550,0.14,0.011,0.001,4.5,1290,20000,2.46,0.019,45,0.0027806,3.9,10,6.8,12,72,0.5,13.9,1.4,0.0005,0.000001,10500,42100,5.79,6,0.01,0.5,0.0025,500,1.35,8.4,25,4.2,1.3,0.56,34.37,2090,2.09,83.1,0.09,0.1,0.5,120,19400,2.39,17,9.5,10,0.0005,0.0005,311,0.08,2.1,5.9,0.002,16,31,0.005,0.05,1.7,17,0.067,1.5,190,71.62,3.4,50,0.001,5.4,250,100.62,0.25,0.8,0.023,5,5,352,0.47,0.25,22.8,0.5,3.6,3.8,17.7,114
254,249,0.026,2.5,23000,12.93,9.9,15,0.001,1.5,40.6,570,0.5,0.052,0.001,2.8,960,10000,1.86,0.067,33,0.0034762,15,17,4.7,63.5,120,1,48.7,0.7,0.0005,0.000001,41800,49100,7,4,0.07,0.5,0.0025,600,1.94,10,15,11.9,4.17,0.24,42.03,6440,1.87,424,0.09,1,2,80,20200,2.59,10,39.9,10,0.0005,0.0005,356,0.08,1.2,5.6,0.002,64,65,0.313,0.9,5.5,14,0.271,1.5,140,66.05,1.9,50,0.0120554,7.3,250,99.38,0.25,0.25,0.031,10,5.2,1460,0.79,2.8,77.2,0.5,3.8,1.4,54.8,102,0.025,2.5,25600,12.96,12.6,16,0.001,3,49.3,620,0.55,0.06,0.001,0.25,1070,10000,1.93,0.073,33,0.0029314,16.3,19,4.4,71.8,130,1,54.6,0.9,0.0005,0.000001,51900,51800,6.66,4,0.04,0.5,0.0025,600,1.89,9.4,15,13.2,4.12,0.26,29.75,7860,1.83,503,0.08,1.2,0.5,80,20600,2.67,13,44.2,10,0.0005,0.0005,362,0.08,1.1,6,0.002,90,59,0.472,1.1,6.5,14,0.298,1.5,130,66.71,2.3,50,0.011898,7.2,250,99.72,0.25,0.25,0.041,11,4.9,1500,0.79,0.25,88.8,0.5,3.9,1.5,63,93
269,262,0.012,2.5,13800,13.86,3.3,3.2,0.004,1.5,68,480,0.21,0.118,0.001,3.3,810,20000,2.6,0.03,28,0.001,8.4,16,3.5,63.1,200,2,15.9,0.8,0.0005,0.000001,14100,33500,4.73,5,0.01,0.5,0.0025,2100,1.17,8.9,15,14.9,2.43,0.24,33.76,5520,2.28,107,0.07,0.1,6,110,21800,2.92,15,35.2,10,0.0005,0.0005,196,0.05,2.2,5.6,0.002,33,39,0.005,0.2,4.2,11,0.046,1.5,200,70.56,2.2,50,0.0079168,4.6,250,101.28,0.25,0.25,0.008,5,4.3,763,0.61,0.25,36.9,11,2.3,1.2,19.9,112,0.012,2.5,15000,13.33,3.2,0.25,0.001,1.5,69.6,360,0.23,0.132,0.001,3.7,840,30000,2.52,0.025,28,0.001,9,17,3.2,66.3,230,2,17.5,0.8,0.0005,0.000001,15100,35300,4.48,5,0.01,0.5,0.0025,2100,1.15,10.4,15,15.3,2.32,0.26,30.63,5800,2.16,111,0.07,0.1,0.5,110,24000,2.77,12,37.7,90,0.0005,0.0005,203,0.05,1.2,5.8,0.002,41,42,0.005,0.2,4.4,13,0.052,1.5,220,70.64,2.2,50,0.0075666,4.7,250,100.07,0.25,0.25,0.017,5,3.6,807,0.58,0.25,39.2,10,2.5,1.8,21.3,118
284,277,0.009,2.5,6230,12.41,0.3,0.25,0.001,3,35.7,450,0.15,0.022,0.001,1.9,2140,30000,3.83,0.028,27,0.001,8.9,19,1.5,78.9,250,0.5,20.1,0.7,0.0005,0.000001,12900,39900,5.19,3,0.01,0.5,0.0025,1100,1.58,8.1,13,4.2,1.22,0.19,40.71,5240,3.52,114,0.07,0.1,0.5,150,27400,3.45,11,40.7,10,0.0005,0.0005,305,0.07,1.2,5.8,0.002,41,13,0.005,0.05,1.9,13,0.024,1.5,110,68.06,2.1,50,0.001,10.3,250,99.86,0.25,0.25,0.012,4,3.1,638,0.45,0.25,29.4,0.5,2.2,1.2,12.9,84,0.009,2.5,6090,12.07,0.4,0.25,0.007,1.5,44.7,630,0.14,0.015,0.001,0.25,1730,30000,3.17,0.028,28,0.001,8.9,21,1.8,83.8,270,0.5,20.3,0.8,0.0005,0.000001,13000,41500,3.79,3,0.01,0.5,0.0025,1200,1.67,8.2,15,4.5,1.07,0.17,37.29,5310,2.63,122,0.05,0.1,0.5,120,28700,3.55,15,40,10,0.0005,0.0005,307,0.06,1.3,6.2,0.002,39,10,0.005,0.05,1.7,14,0.057,1.5,110,70,2.4,50,0.001,8.1,250,98.38,0.25,0.25,0.022,4,3.7,601,0.32,1.2,28.8,0.5,2.1,1.5,13,25
299,293,0.013,2.5,17900,16,2,4.6,0.001,1.5,161,730,0.41,0.038,0.001,0.25,3800,40000,5.01,0.082,99,0.001,13.5,28,2.9,30.7,100,0.5,57.3,1.9,0.0005,0.000001,26000,68200,8.24,6,0.01,0.5,0.0025,2000,1.08,43.1,62,8.2,2.87,0.46,31.15,5840,3.03,251,0.11,0.3,4,240,30500,3.48,42,26.5,10,0.0005,0.0005,706,0.17,4.9,5.9,0.002,48,36,0.028,0.05,5.4,22,0.091,1.5,160,58.68,5.9,50,0.0023752,22.2,800,99.65,0.25,0.25,0.02,11,11,1450,0.98,3.3,61.3,0.5,6.6,2.8,41.8,153,0.014,2.5,19300,12.8,2.4,3.2,0.001,1.5,163,730,0.45,0.039,0.001,0.25,4330,50000,1.84,0.083,96,0.001,15.4,27,2.9,32.7,100,0.5,59.8,1.8,0.0005,0.000001,27700,64200,2.6,5,0.02,0.5,0.0025,2100,2.9,42.6,56,8.6,1.42,0.46,31.65,6250,0.84,276,0.03,0.4,0.5,280,30000,3.31,42,28.6,10,0.0005,0.0005,831,0.09,5,5.8,0.002,47,41,0.019,0.3,5.6,21,0.085,1.5,140,73.43,5.7,50,0.002725,24.3,500,99.66,1.2,0.25,0.019,12,7.3,1540,0.39,0.25,67.7,0.5,6.9,2.6,44.5,142
314,307,0.013,2.5,10500,10.76,1.7,2.1,0.001,3,30.9,570,0.34,0.078,0.001,11,1460,10000,1.26,0.022,47,0.0028576,6.7,9,5.7,17.5,52,1,12.9,1,0.0005,0.000001,20800,30500,3.72,7,0.19,0.5,0.0025,1400,2.44,12.7,22,11.4,4.2,0.33,34.01,3180,1,257,0.05,0.1,5,80,17400,2.06,19,12,10,0.0005,0.0005,389,0.07,9.7,5.9,0.002,79,88,0.067,0.3,1.7,7.9,0.085,1.5,250,72.92,3.1,50,0.0021118,11.7,250,98.98,0.8,0.25,0.013,7,6.8,698,0.51,1.5,19.9,0.5,5,2.2,29,25,0.022,2.5,9640,10.83,1.7,0.25,0.001,1.5,28.2,580,0.32,0.067,0.001,8.7,1340,5000,1.4,0.022,42,0.0028764,6.1,9,6.2,16.7,47,1,13.9,0.9,0.0005,0.000001,18200,28200,4.01,7,0.02,0.5,0.0025,1300,2.3,11.8,21,10.5,5.1,0.31,31.83,2910,1.07,229,0.05,0.1,0.5,70,16400,2.05,21,11,10,0.0005,0.0005,358,0.08,10,5.6,0.002,82,95,0.073,0.2,1.5,7.4,0.029,1.5,230,71.74,3,50,0.002399,10.3,250,99.15,0.25,0.25,0.0015,6,6.6,672,0.53,1.4,19,0.5,4.5,2.2,25.9,60
329,322,0.011,2.5,8900,13.76,0.5,0.25,0.001,1.5,46.5,450,0.25,0.03,0.001,2.7,2040,30000,3.22,0.037,35,0.001,7.5,13,3.6,20,90,0.5,32.6,0.8,0.0005,0.000001,10900,28300,3.44,4,0.01,0.5,0.0025,1200,1.81,47.8,19,10.9,1.5,0.17,37.29,3230,1.41,141,0.06,0.1,0.5,140,25700,3.58,14,20.3,10,0.0005,0.0005,263,0.06,3.9,5.7,0.002,48,42,0.005,0.05,2.1,8.8,0.023,1.5,220,70.64,2.1,50,0.0084772,11.9,250,99.82,0.25,0.25,0.012,18,4.7,715,0.33,1,19.8,0.5,5.2,1.2,20.8,84,0.009,2.5,11100,13.63,0.7,0.25,0.001,1.5,53.5,500,0.29,0.029,0.001,0.25,2230,30000,3.32,0.033,38,0.001,8,13,3.2,27.7,100,1,38.2,0.9,0.0005,0.000001,12800,29500,3.71,4,0.01,0.5,0.0025,1200,1.73,18.5,20,11.5,1.52,0.2,31.41,4010,1.5,168,0.06,0.1,0.5,190,28800,3.64,16,26.3,89,0.0005,0.0005,310,0.06,1.9,5.9,0.002,77,34,0.005,0.05,2,9.5,0.039,1.5,300,70.12,2.5,50,0.0093574,9.4,250,99.62,0.25,0.25,0.01,7,5.6,787,0.34,0.25,25,0.5,3.4,1.2,23.3,75
344,331,0.01,2.5,6360,13.24,0.7,0.25,0.004,1.5,26,380,0.13,0.03,0.001,2.9,1640,20000,3.21,0.014,12,0.001,3.3,8,3.3,16.6,66,0.5,8.2,0.4,0.0005,0.000001,7110,19200,2.81,2,0.01,0.5,0.0025,800,1.33,5.4,5,8.4,1.36,0.14,36.25,2330,1.29,66,0.04,0.1,6,110,25700,3.62,2.5,11.4,10,0.0005,0.0011382,268,0.05,1.4,5.8,0.002,35,23,0.024,0.05,1.3,6.8,0.027,1.5,110,72.71,0.9,50,0.00327,5.9,250,99.94,0.25,0.25,0.009,1.5,1.6,469,0.27,0.25,15,0.5,1.7,0.8,14.7,64,0.01,2.5,5770,13.1,0.7,2,0.001,1.5,25.3,370,0.11,0.03,0.001,3.3,1320,30000,3.33,0.013,14,0.001,3.1,10,3.6,15.3,79,1,7.7,0.5,0.0005,0.000001,6590,23700,3.03,3,0.01,0.5,0.0025,800,1.3,3.6,6.1,7.9,1.46,0.17,28.73,2120,1.33,58.6,0.05,0.1,0.5,90,30100,3.59,2.5,10.6,70,0.0005,0.0005,235,0.06,1.3,5.8,0.002,34,21,0.013,0.05,1.1,8.3,0.018,1.5,120,71.12,1.1,50,0.004196,4.7,500,98.65,1.2,0.25,0.009,1.5,1.9,421,0.27,1.2,13.4,0.5,1.3,1,13.9,25
359,346,0.037,2.5,23800,16.59,0.6,0.25,0.009,1.5,86.8,660,0.33,0.019,0.001,0.25,820,20000,1.79,0.044,69,0.0027744,18.1,28,4.7,44.1,190,0.5,58,1.9,0.0005,0.000001,24000,75100,10.9,6,0.03,0.5,0.0025,600,1.26,19.2,41,6,3.65,0.82,38.2,4270,4.41,130,0.11,0.3,10,140,9100,1.05,26,77.5,10,0.0005,0.0005,301,0.08,3.6,6.3,0.002,36,68,0.014,0.05,4.7,26,0.197,1.5,220,59.78,5.1,50,0.0113284,23.8,250,100.53,0.6,1,0.042,7,4.9,406,0.91,0.25,50.5,0.5,5.9,5.3,34.4,144,0.042,2.5,22800,16.56,1.1,0.25,0.001,1.5,83.6,920,0.33,0.015,0.001,7.6,630,5000,1.81,0.039,84,0.001,18.6,31,4,43,220,0.5,60.3,2.2,0.0005,0.000001,23900,85700,10.98,7,0.02,0.5,0.0025,600,1.24,16.3,47,6.6,3.29,0.93,29,4070,4.51,124,0.11,0.4,0.5,120,10400,1.07,31,77.3,10,0.0005,0.0005,257,0.07,3.7,6.2,0.002,28,66,0.017,0.4,4.4,29,0.178,1.5,200,60.82,6,50,0.0105664,20.5,250,101.33,1,1.2,0.039,5,5.7,363,0.87,1.6,50.6,0.5,5.3,6.2,35.1,167
374,367,0.005,2.5,5560,13.43,0.05,0.25,0.001,1.5,25.2,620,0.09,0.042,0.001,4.9,1980,30000,3.27,0.021,22,0.001,4.9,10,3.7,13.7,78,0.5,10.5,0.7,0.0005,0.000001,7360,23500,2.81,4,0.01,0.5,0.0025,700,1.49,5.6,9.5,3.3,1.06,0.16,31.24,1820,1.27,81.1,0.05,0.1,0.5,190,30000,3.66,11,13.5,10,0.0005,0.0005,365,0.07,0.8,5.7,0.002,21,30,0.005,0.05,1.3,8.3,0.038,1.5,230,71.79,1.9,50,0.013159,6,250,99.15,0.25,0.25,0.0015,1.5,2.2,380,0.27,0.25,16.5,0.5,2.1,1.2,9.4,25,0.005,2.5,5840,13.51,0.05,0.25,0.001,1.5,25.4,610,0.1,0.006,0.001,4.8,2140,30000,3.35,0.022,24,0.001,5.1,10,3.9,15.5,70,0.5,11.3,0.8,0.0005,0.000001,7690,23200,3.11,5,0.01,0.5,0.0025,800,1.49,6.6,11,3.6,1.09,0.2,37.96,2010,1.29,88.5,0.05,0.1,0.5,220,30000,3.67,12,14.7,55,0.0005,0.0022218,342,0.07,0.8,6.3,0.002,30,35,0.005,0.05,1.4,8.4,0.037,1.5,270,71.45,2,50,0.0109568,8,250,99.34,0.25,0.25,0.006,1.5,2.7,395,0.28,0.25,17,0.5,2,1.2,10.1,25
389,386,0.004,2.5,12500,15.36,0.6,0.25,0.001,1.5,63,640,0.24,0.028,0.001,6,3980,30000,3.79,0.015,51,0.0067566,9.1,15,3.6,39.9,140,0.5,16,1.2,0.0034048,0.000001,16300,32700,4.25,5,0.01,0.5,0.0025,1800,1.73,17.5,29,13.1,2.38,0.18,35.5,6120,2.27,175,0.06,0.1,0.5,290,31900,4.13,22,22.3,10,0.0005,0.0013186,696,0.15,1.9,5.8,0.002,52,25,0.017,0.2,3.2,11,0.023,1.5,180,64.9,3.5,50,0.0041758,20.8,250,99.51,0.25,0.25,0.006,5,3.2,1150,0.5,0.25,34.9,0.5,3.5,1.2,30.2,76,0.006,2.5,13200,15.48,0.6,0.25,0.001,1.5,66.8,690,0.26,0.028,0.001,7.1,4120,30000,3.8,0.015,51,0.001,10.1,16,4.1,41.6,150,1,16.5,1.2,0.0013724,0.000001,17200,34800,4.35,5,0.01,0.5,0.0025,1900,1.73,18.6,30,13.9,2.49,0.19,31.16,6460,2.29,195,0.06,0.1,0.5,310,32400,4.02,23,23.5,10,0.0005,0.0005,705,0.15,2.1,5.9,0.002,49,26,0.018,0.1,3.4,11,0.021,1.5,180,65.18,3.6,50,0.0033076,21.8,250,100.06,0.25,0.25,0.011,5,3.4,1220,0.5,0.25,36.7,0.5,3.6,1.1,31.7,82
404,402,0.009,2.5,21900,14.27,1,3.4,0.001,1.5,141,730,0.42,0.032,0.001,5.3,2240,20000,3.2,0.039,58,0.0032854,10.6,17,3.6,48.2,120,1,17.9,1.6,0.0005,0.000001,24200,49700,6.91,6,0.03,0.5,0.0025,1300,1.7,19.8,35,7.3,3.25,0.42,38.14,4940,2.77,157,0.08,0.1,0.5,200,18300,2.37,28,22.5,10,0.0005,0.0005,499,0.12,3.5,5.9,0.002,51,62,0.023,0.05,5.6,18,0.066,1.5,180,64.64,4.4,50,0.0078336,17.3,250,100.19,0.25,0.8,0.007,6,5,1310,0.87,1,68,0.5,8.9,2.6,29.8,91,0.009,2.5,22900,14.24,3.1,0.25,0.001,1.5,147,710,0.46,0.04,0.001,4.2,2210,20000,3.21,0.037,63,0.001,10.9,18,3.5,52.2,120,1,18.6,1.6,0.0005,0.000001,27000,50400,6.87,6,0.03,0.5,0.0025,1300,1.68,19.7,38,7.4,3.36,0.4,34.27,5200,2.73,163,0.08,0.1,7,210,18600,2.28,25,25.5,10,0.0005,0.0005,527,0.12,3.4,5.9,0.002,52,65,0.072,0.05,5.9,18,0.082,1.5,170,63.44,4.8,50,0.0066028,15.5,250,98.88,0.7,0.7,0.012,7,6.2,1390,0.87,0.25,74.2,0.5,9,2.6,31.6,91
419,409,0.004,2.5,10500,12.73,0.2,0.25,0.004,1.5,44,480,0.2,0.065,0.001,1.7,1500,30000,3.81,0.012,36,0.001,10.2,23,1.7,216,480,2,10,0.9,0.0005,0.000001,14000,35900,4.38,5,0.01,0.5,0.0025,3500,2.22,13.3,18,15.9,1.4,0.23,30.12,9150,4.34,143,0.07,0.1,7,120,28000,3.31,18,74,200,0.0005,0.0005,215,0.06,1.7,6.2,0.002,91,8,0.005,0.05,1.3,12,0.005,1.5,190,66.92,2.4,50,0.0021962,8.3,800,99.54,0.25,0.25,0.0015,7,4.9,860,0.3,0.25,25.1,0.5,3.6,1.4,20.8,123,0.003,2.5,10400,12.62,0.2,0.25,0.003,1.5,43.5,490,0.19,0.064,0.001,0.25,1460,20000,3.58,0.012,30,0.001,10,19,1.9,217,400,2,10.7,0.7,0.0005,0.000001,13600,30500,4.1,4,0.01,0.5,0.0025,3600,2.25,13.6,17,15.9,1.44,0.18,33.64,9040,3.99,138,0.06,0.1,0.5,110,26000,3.42,13,73.8,130,0.0005,0.0005,219,0.05,1.6,6.9,0.002,84,9,0.005,0.05,1.3,9.8,0.011,1.5,200,67.76,2.1,50,0.001,8.1,250,99.55,0.25,0.25,0.0015,7,5.2,853,0.29,1.6,24.5,0.5,2.8,1.1,20.4,65
434,423,0.005,2.5,3110,11.43,0.2,0.25,0.001,1.5,10.9,610,0.1,0.029,0.001,2,1060,20000,2.42,0.015,28,0.001,2.6,8,2.1,13.9,78,2,4.3,0.8,0.0005,0.000001,6860,19700,2.6,5,0.01,0.5,0.0025,500,2.35,8.4,16,3.6,0.65,0.16,31.61,1390,1.19,44.5,0.04,0.1,4,80,25900,3.23,10,5.7,10,0.0005,0.0005,214,0.05,1.2,6,0.002,52,10,0.005,0.05,0.9,7.6,0.023,1.5,130,75.05,1.9,50,0.001,3.2,250,99.38,0.25,0.25,0.007,6,7.9,358,0.37,1.3,15.4,0.5,2.2,1.1,4.8,55,0.005,2.5,3320,11.11,0.2,0.25,0.001,1.5,11.1,750,0.11,0.037,0.001,2.4,1430,5000,2.25,0.015,31,0.001,2.5,7,2.2,15.5,70,0.5,3.9,0.9,0.0005,0.000001,7090,23700,2.46,6,0.01,0.5,0.0025,600,2.36,13.8,18,3.7,0.68,0.27,37.73,1450,1.08,53.5,0.04,0.1,0.5,100,27600,3.13,11,5.7,10,0.0005,0.0005,214,0.04,1.4,5.9,0.002,56,12,0.005,0.05,1.1,8.3,0.015,1.5,90,75.94,2,50,0.0023942,4.6,250,99.43,1.7,0.25,0.0015,9,9.6,496,0.34,1.7,16.6,0.5,2.8,1.5,5.5,25
449,441,0.009,2.5,8100,14.31,0.6,0.25,0.001,1.5,56,550,0.2,0.038,0.001,2.1,2420,40000,3.54,0.027,21,0.001,7.3,13,1.6,34.1,100,2,13.4,0.7,0.0005,0.000001,13100,25400,3.26,3,0.01,0.5,0.0025,2000,1.58,8.2,11,13.8,1.13,0.13,30.61,4840,1.71,138,0.05,0.1,0.5,110,34000,4.08,12,28.5,10,0.0005,0.0005,640,0.1,1.1,5.9,0.002,60,15,0.005,0.05,2.1,8.2,0.028,1.5,100,69.97,1.6,50,0.0020664,11.3,250,100.05,0.25,0.25,0.007,3,2.7,859,0.33,0.25,26.6,0.5,2.3,0.6,23.6,25,0.008,2.5,6800,14.26,0.6,1.8,0.001,1.5,49.4,520,0.18,0.047,0.001,0.25,2320,20000,3.58,0.028,21,0.001,6.5,12,1.7,30.8,110,1,11.6,0.7,0.0005,0.000001,11600,25600,3.39,3,0.01,0.5,0.0025,1600,1.58,8.7,12,11.6,1.1,0.12,34.36,4180,1.78,122,0.05,0.1,0.5,90,33200,4.09,12,25.8,80,0.0005,0.0005,693,0.12,1.1,6.4,0.002,58,16,0.005,0.05,1.7,8.3,0.028,1.5,100,69.5,1.6,50,0.001,12,250,99.79,0.25,0.25,0.01,3,2.6,731,0.34,0.25,23.4,0.5,2.1,0.8,19.9,56
464,458,0.0005,2.5,7870,9.8,0.4,1,0.001,1.5,13.1,560,0.26,0.021,0.001,0.25,1380,20000,1.57,0.016,21,0.0022818,5.1,8,3,48.9,74,0.5,5.4,0.5,0.0005,0.000001,21500,20000,2.42,2,0.01,0.5,0.0025,400,2,8.8,11,3.2,1.49,0.13,30.66,2050,1.05,144,0.03,0.1,0.5,70,20300,2.56,8,11.6,10,0.0005,0.0011368,452,0.05,0.9,5.8,0.002,79,39,0.005,0.2,1.4,6.1,0.027,1.5,590,77.51,1.4,50,0.0026106,3.8,250,98.74,0.8,0.25,0.006,7,4.7,480,0.28,1.2,47.4,0.5,3.2,1,7.6,25,0.004,2.5,5320,9.82,0.3,0.25,0.001,1.5,12.6,390,0.17,0.018,0.001,2.5,820,5000,1.63,0.018,19,0.001,3.6,8,2.8,29.2,79,0.5,4.7,0.5,0.0005,0.000001,8600,22000,2.47,2,0.01,0.5,0.0025,500,2.05,5.9,11,3.1,1.45,0.15,34.68,1870,1.14,96.2,0.03,0.1,0.5,60,18600,2.47,8,9,69,0.0005,0.0005,214,0.05,1.4,5.9,0.002,44,21,0.005,0.05,1.1,6.4,0.021,1.5,430,78.04,1.3,50,0.003244,2.1,250,99.42,0.25,0.25,0.0015,3,4.7,377,0.28,1,19.1,0.5,1.8,0.8,7.4,25
479,474,0.005,2.5,4890,13.33,0.1,0.25,0.002,1.5,20.4,380,0.07,0.0025,0.001,1.8,1580,30000,3.49,0.013,17,0.001,2.2,8,1.7,10.3,110,0.5,4.7,0.6,0.0005,0.000001,3960,20500,2.43,3,0.01,0.5,0.0025,700,1.12,5,9.3,3.1,0.7,0.17,38.8,1370,1.35,42.2,0.05,0.1,0.5,220,25800,3.57,6,11.3,10,0.0005,0.0005,197,0.05,0.5,6.1,0.002,37,15,0.005,0.05,0.8,8.5,0.005,1.5,190,72.19,1.4,50,0.001,7.7,250,98.47,0.25,0.25,0.0015,1.5,2.2,296,0.19,0.7,9.5,0.5,1.3,1,7.6,25,0.004,2.5,4110,13.4,0.05,0.25,0.001,1.5,16.6,360,0.06,0.0025,0.001,0.25,1200,30000,3.42,0.011,13,0.0027352,1.8,7,1.7,9.6,99,0.5,4.1,0.5,0.0005,0.000001,3310,15600,2.29,2,0.01,0.5,0.0025,500,1.17,3.5,7.8,2.6,0.73,0.1,32,1170,1.31,33.8,0.04,0.1,0.5,190,28100,3.87,6,10.2,10,0.0005,0.0005,128,0.04,0.5,6.2,0.002,29,14,0.012,0.05,0.6,6,0.005,1.5,170,73.39,1,50,0.001,5.1,250,99.84,0.25,0.25,0.005,1.5,1.4,228,0.19,0.25,7.7,0.5,0.9,0.7,6.3,25
494,486,0.008,2.5,9730,12.92,0.3,0.25,0.001,1.5,37.7,560,0.17,0.014,0.001,6.4,1030,20000,2.4,0.026,32,0.0037192,5.5,12,3,16.8,80,0.5,10.2,1,0.0005,0.000001,16000,40000,6.26,5,0.03,0.5,0.0025,700,1.04,10.1,18,5.4,2.19,0.46,33.52,2440,2.14,138,0.1,0.1,4,90,24200,2.64,13,10.2,10,0.0005,0.0005,275,0.06,1.8,5.7,0.002,25,42,0.031,0.05,2.2,17,0.095,1.5,100,68.19,2.9,50,0.0034,4.4,250,98.45,0.25,0.25,0.016,5,4.5,547,0.51,0.25,31.6,0.5,3.4,2.9,26.9,70,0.007,2.5,9700,13.35,0.3,0.8,0.001,1.5,37.4,490,0.16,0.012,0.001,5.7,1030,10000,2.46,0.032,38,0.001,5.3,12,2.6,16.2,86,0.5,10.2,0.9,0.0005,0.000001,15300,44500,6.68,6,0.01,0.5,0.0025,700,1.06,9.8,21,5.4,2.39,0.48,37.28,2420,2.31,135,0.11,0.1,0.5,90,22900,2.62,10,9.6,10,0.0005,0.0005,273,0.06,1.8,5.5,0.002,7.5,42,0.015,0.05,2.2,18,0.086,1.5,150,68.22,3.2,50,0.0025206,4.5,250,99.83,0.25,0.25,0.012,6,6,529,0.57,1.7,29.9,0.5,3.2,3.4,26.4,25
