"A1_*Loc","A2_*Loc","A1_Ag","A1_Ag_INAA","A1_Al","A1_Al2O3","A1_As","A1_As_INAA","A1_Au_INAA","A1_B","A1_Ba","A1_Ba_INAA","A1_Be","A1_Bi","A1_Br","A1_Br_INAA","A1_Ca","A1_Ca_INAA","A1_CaO","A1_Cd","A1_Ce_INAA","A1_Cl","A1_Co","A1_Co_INAA","A1_Cond","A1_Cr","A1_Cr_INAA","A1_Cs_INAA","A1_Cu","A1_Eu_INAA","A1_F","A1_F_ionselect","A1_Fe","A1_Fe_INAA","A1_Fe2O3","A1_Hf_INAA","A1_Hg","A1_Hg_INAA","A1_Ir_INAA","A1_K","A1_K2O","A1_La","A1_La_INAA","A1_Li","A1_LOI","A1_Lu_INAA","A1_Mass_INAA","A1_Mg","A1_MgO","A1_Mn","A1_MnO","A1_Mo","A1_Mo_INAA","A1_Na","A1_Na_INAA","A1_Na2O","A1_Nd_INAA","A1_Ni","A1_Ni_INAA","A1_NO2","A1_NO3","A1_P","A1_P2O5","A1_Pb","A1_pH","A1_PO4","A1_Rb","A1_S","A1_Sb","A1_Sb_INAA","A1_Sc","A1_Sc_INAA","A1_Se","A1_Se_INAA","A1_Si","A1_SiO2","A1_Sm_INAA","A1_Sn_INAA","A1_SO4","A1_Sr","A1_Sr_INAA","A1_Sum","A1_Ta_INAA","A1_Tb_INAA","A1_Te","A1_Th","A1_Th_INAA","A1_Ti","A1_TiO2","A1_U_INAA","A1_V","A1_W_INAA","A1_Y","A1_Yb_INAA","A1_Zn","A1_Zn_INAA","A2_Ag","A2_Ag_INAA","A2_Al","A2_Al2O3","A2_As","A2_As_INAA","A2_Au_INAA","A2_B","A2_Ba","A2_Ba_INAA","A2_Be","A2_Bi","A2_Br","A2_Br_INAA","A2_Ca","A2_Ca_INAA","A2_CaO","A2_Cd","A2_Ce_INAA","A2_Cl","A2_Co","A2_Co_INAA","A2_Cond","A2_Cr","A2_Cr_INAA","A2_Cs_INAA","A2_Cu","A2_Eu_INAA","A2_F","A2_F_ionselect","A2_Fe","A2_Fe_INAA","A2_Fe2O3","A2_Hf_INAA","A2_Hg","A2_Hg_INAA","A2_Ir_INAA","A2_K","A2_K2O","A2_La","A2_La_INAA","A2_Li","A2_LOI","A2_Lu_INAA","A2_Mass_INAA","A2_Mg","A2_MgO","A2_Mn","A2_MnO","A2_Mo","A2_Mo_INAA","A2_Na","A2_Na_INAA","A2_Na2O","A2_Nd_INAA","A2_Ni","A2_Ni_INAA","A2_NO2","A2_NO3","A2_P","A2_P2O5","A2_Pb","A2_pH","A2_PO4","A2_Rb","A2_S","A2_Sb","A2_Sb_INAA","A2_Sc","A2_Sc_INAA","A2_Se","A2_Se_INAA","A2_Si","A2_SiO2","A2_Sm_INAA","A2_Sn_INAA","A2_SO4","A2_Sr","A2_Sr_INAA","A2_Sum","A2_Ta_INAA","A2_Tb_INAA","A2_Te","A2_Th","A2_Th_INAA","A2_Ti","A2_TiO2","A2_U_INAA","A2_V","A2_W_INAA","A2_Y","A2_Yb_INAA","A2_Zn","A2_Zn_INAA"
509,498,0.01,2.5,9600,12.85,0.2,0.25,0.002,1.5,56.5,440,0.17,0.007,0.001,8.8,2710,5000,2.97,0.022,72,0.001,6.6,9,3.8,26.2,59,0.5,36.2,1.1,0.0005,0.000001,12300,23400,3.27,6,0.03,0.5,0.0025,1700,1.54,21.5,34,8.3,2.42,0.25,31.08,4560,1.34,119,0.04,0.1,0.5,150,30900,3.65,22,15.8,10,0.0005,0.0005,553,0.12,1.6,5.8,0.002,30,49,0.016,0.05,2,10,0.091,1.5,100,69.45,4.1,50,0.004184,15.1,250,98.07,0.25,0.25,0.004,6,4.4,808,0.43,1,22.4,0.5,6,1.5,20.1,25,0.01,2.5,9540,13.41,0.2,0.25,0.001,1.5,58,610,0.17,0.01,0.001,8.6,2500,5000,2.03,0.021,70,0.001,6.8,9,3.5,25.6,69,0.5,36.5,1.3,0.0005,0.000001,12300,24000,5.49,7,0.03,0.5,0.0025,1800,1.93,22.3,34,8.3,2.5,0.23,32.76,4590,1.62,114,0.09,0.1,0.5,130,32500,3.05,23,15.4,10,0.0005,0.0005,557,0.08,1.8,6.8,0.002,36,59,0.005,0.05,1.9,11,0.102,1.5,110,68.43,4.2,50,0.002861,13.1,250,99.13,0.25,0.25,0.006,6,4.7,779,0.5,1.9,22.2,0.5,6,1.5,20.1,25
524,511,0.004,2.5,6950,13.37,0.2,0.25,0.001,1.5,37.7,430,0.21,0.012,0.001,3.6,2790,40000,4.38,0.02,32,0.001,5.4,15,2.7,36.5,220,0.5,17.5,0.6,0.0005,0.000001,10400,33600,4.79,4,0.02,0.5,0.0025,900,1.37,7.6,12,4.7,1.24,0.2,38.37,3340,2.6,117,0.08,0.1,0.5,210,29500,3.56,8,14.9,10,0.0005,0.0005,417,0.09,1.4,6,0.002,34,19,0.005,0.05,1.8,14,0.019,1.5,100,67.99,1.7,50,0.0051078,9.7,250,99.91,0.25,0.25,0.0015,4,2.8,632,0.44,1.1,23.2,0.5,3.2,1.3,13.1,25,0.004,2.5,7160,13.32,0.4,0.25,0.001,1.5,37.6,430,0.22,0.016,0.001,3.7,2710,30000,4.33,0.02,30,0.001,5.7,15,2.6,36.9,200,0.5,18.8,0.7,0.0005,0.000001,10900,32900,4.84,4,0.03,0.5,0.0025,1000,1.38,7.8,12,5.5,1.24,0.19,30.65,3680,2.56,121,0.08,0.1,0.5,200,31900,3.46,6,15.9,10,0.0005,0.0005,431,0.1,1.3,6.3,0.002,40,19,0.005,0.05,1.8,13,0.03,1.5,100,67.78,1.8,50,0.0044426,9.4,250,99.5,0.25,0.25,0.004,4,3.6,632,0.43,0.25,23.3,0.5,2.9,1.4,14.9,90
539,533,0.01,2.5,16800,14.81,0.3,1.4,0.112,1.5,70.5,680,0.29,0.012,0.001,3.8,680,10000,2.03,0.036,61,0.0037954,10.3,16,3,51.6,170,0.5,22.5,1.4,0.0005,0.000001,21400,51900,7.81,7,0.03,0.5,0.0025,700,1.81,18.1,38,4.5,2.53,0.57,38.5,3390,2.91,174,0.09,0.1,0.5,100,13500,1.66,23,28,10,0.0005,0.0005,194,0.06,2.8,6.6,0.002,25,34,0.005,0.2,5.6,21,0.092,1.5,120,65.31,4.7,50,0.0063374,6.5,250,99.89,1.1,1,0.02,7,5.9,652,0.87,0.9,48,0.5,7.9,3.6,24.3,96,0.008,2.5,18500,15.32,0.3,0.25,0.003,1.5,72,620,0.31,0.013,0.001,4.5,850,20000,2.08,0.035,69,0.0027072,10.1,17,2.9,51.3,200,0.5,23.1,1.4,0.0005,0.000001,22600,57500,8.04,8,0.03,0.5,0.0025,700,1.82,20.7,40,4.7,2.44,0.66,31.19,3650,2.95,191,0.09,0.1,0.5,120,14600,1.69,24,29.2,10,0.0005,0.0005,203,0.06,2.7,7.1,0.002,45,38,0.011,0.05,6.3,24,0.071,1.5,140,64.44,5.3,50,0.006072,7.5,250,99.85,1.1,0.9,0.018,8,7.3,789,0.92,1.4,52.2,0.5,8.9,4.5,25.7,66
554,541,0.012,2.5,13100,16.21,0.2,0.25,0.001,1.5,90,540,0.23,0.01,0.001,6.3,2920,5000,4.35,0.02,43,0.001,9.3,14,4.9,24.1,61,2,21.9,1,0.0005,0.000001,18100,31700,4.56,4,0.02,0.5,0.0025,3000,1.34,16.1,24,13.7,1.96,0.15,35.32,6230,1.95,154,0.06,0.1,0.5,240,34300,4.19,18,19.7,10,0.0005,0.0005,719,0.16,0.9,6.1,0.002,43,63,0.005,0.05,2.4,9.8,0.052,1.5,100,65.47,3.1,50,0.0229244,13.7,250,100.82,0.25,0.25,0.0015,5,4.1,1550,0.55,0.25,36.7,0.5,2.4,1,37.3,25,0.009,2.5,13000,15.99,0.2,0.25,0.001,1.5,88.8,500,0.22,0.0025,0.001,6,2870,30000,4.29,0.022,38,0.001,9.3,12,5.1,23.7,54,0.5,22.4,0.8,0.0005,0.000001,18200,29400,4.51,4,0.03,0.5,0.0025,3000,1.38,16.6,22,13.6,1.98,0.14,33.94,6210,1.91,151,0.06,0.1,0.5,230,35000,4.21,15,20,10,0.0005,0.0005,738,0.16,,6.1,0.002,25,60,0.005,0.05,2.4,9.2,0.056,1.5,100,64.39,2.8,50,0.0216632,13.4,250,99.45,1.3,0.25,0.011,5,3.8,1530,0.56,0.25,36.1,2,2.4,0.8,37.1,100
569,563,0.007,2.5,18800,13.86,0.8,0.25,0.001,1.5,101,1000,0.62,0.03,0.001,0.25,2850,30000,3.94,0.047,230,0.0021264,13.7,27,4,37.4,110,0.5,65.7,3,0.0005,0.000001,33900,70700,9.78,15,0.03,0.5,0.0025,2400,2.52,83.2,100,9,2.93,1.24,29.31,4790,2.65,335,0.13,0.1,0.5,260,21700,2.65,85,28.5,10,0.0005,0.0005,787,0.18,2.2,5.7,0.002,97,33,0.016,0.05,7.5,22,0.106,1.5,150,59.96,16,50,0.0070156,10.1,250,99.74,3.1,2.5,0.006,23,13,1800,1.15,2.3,57.6,0.5,35.5,8.2,50.7,177,0.007,2.5,19200,13.67,0.8,0.25,0.001,1.5,103,1000,0.63,0.033,0.001,0.25,2650,5000,3.86,0.048,230,0.0021064,14.4,25,4.1,38.4,100,1,65.8,2.8,0.0005,0.000001,33900,70000,9.65,13,0.03,0.5,0.0025,2300,2.48,83.9,100,9.1,2.82,1.26,32.7,4780,2.61,325,0.13,0.1,0.5,240,22200,2.57,92,28.7,10,0.0005,0.0005,734,0.17,2.2,6.1,0.002,87,34,0.026,0.05,7.4,22,0.106,1.5,130,60.55,16,50,0.0052984,10.4,250,99.63,0.25,3.1,0.0015,23,14,1810,1.11,1.9,57.2,0.5,35.7,7.9,50.9,206
584,575,0.004,2.5,3170,12.12,0.2,0.25,0.001,1.5,13,570,0.09,0.014,0.001,0.25,2200,30000,3.13,0.015,20,0.0021766,2.4,10,2.4,13.2,95,0.5,5.9,0.6,0.0005,0.000001,5740,20400,2.88,5,0.01,0.5,0.0025,500,1.8,6.9,11,2.8,0.69,0.16,37.24,1450,1.6,55.3,0.05,0.1,0.5,170,30300,3.67,10,5.9,10,0.0005,0.0005,385,0.08,0.9,5.9,0.002,52,11,0.005,0.05,1.2,9.2,0.005,1.5,90,73.68,1.7,50,0.001,6.3,250,100.04,0.25,0.25,0.003,1.5,2.9,467,0.35,0.25,14.3,0.5,2.6,0.9,7.1,25,0.005,2.5,3210,11.96,0.1,1.4,0.001,1.5,13.2,560,0.09,0.017,0.001,2.3,2320,20000,3.12,0.013,21,0.001,2.5,10,2.3,13.4,100,0.5,6.3,0.7,0.0005,0.000001,6150,21600,2.9,4,0.01,0.5,0.0025,500,1.8,7,12,3,0.79,0.16,31.47,1500,1.6,56.9,0.05,0.1,0.5,170,31400,3.58,9,5.9,10,0.0005,0.0005,404,0.08,0.8,6,0.002,53,11,0.005,0.05,1.2,10,0.014,1.5,100,72.85,1.8,50,0.001,6.7,250,99.07,0.25,0.25,0.006,1.5,4.1,490,0.34,1.2,15.9,0.5,2.8,1.1,7.3,25
599,594,0.002,2.5,10400,12.21,1,1.3,0.001,1.5,23.7,380,0.22,0.023,0.001,4.4,1270,40000,3.77,0.013,37,0.001,11.2,25,3.9,122,340,0.5,29.5,0.9,0.0005,0.000001,20200,51800,6.61,5,0.02,0.5,0.0025,1000,1.22,8.5,17,4,2.64,0.32,30.3,5580,3.91,125,0.09,0.1,0.5,110,30700,3.33,12,44.8,10,0.0005,0.0005,187,0.06,0.7,5.5,0.002,54,26,0.012,0.05,3.4,20,0.085,1.5,150,65.01,2.8,50,0.0047354,4.1,250,99.66,0.25,0.6,0.0015,5,3.4,812,0.82,1.7,44.9,0.5,3.6,1.9,11.1,25,0.003,2.5,11900,12.13,1.2,1.7,0.001,1.5,26.8,380,0.25,0.023,0.001,5.4,1740,30000,3.73,0.017,25,0.001,12.2,26,3.2,132,420,0.5,32.7,0.7,0.0005,0.000001,23300,50200,6.65,5,0.01,0.5,0.0025,1200,1.26,10.1,14,4.4,2.71,0.27,31.78,6080,3.91,136,0.09,0.1,0.5,160,30300,3.31,11,47,100,0.0005,0.0005,202,0.05,0.6,5.8,0.002,35,25,0.005,0.2,4.1,21,0.062,1.5,100,65.13,2.3,50,0.0050434,5.5,250,99.75,1,0.7,0.004,5,3.3,994,0.78,0.25,52.1,0.5,4.2,1.9,12.1,25
614,605,0.005,2.5,4030,12.2,0.2,0.25,0.001,1.5,23.9,570,0.1,0.022,0.001,3.4,1810,30000,2.79,0.015,32,0.001,4.6,7,2.3,10.5,47,0.5,9.7,0.6,0.0005,0.000001,7680,18800,2.55,5,0.01,0.5,0.0025,1400,1.68,9.4,17,5.2,0.79,0.14,35.53,2210,1,90.6,0.04,0.1,0.5,120,32900,3.8,10,8.1,10,0.0005,0.0005,364,0.08,1,5.6,0.002,51,14,0.005,0.05,1,7.9,0.019,1.5,100,74.04,2.3,50,0.001,6.7,700,99.3,0.25,0.25,0.0015,3,3.9,524,0.33,0.25,15.1,0.5,2.2,0.9,11.2,25,0.004,2.5,3280,12.13,0.2,0.25,0.001,1.5,19.3,560,0.08,0.014,0.001,4,1460,30000,2.94,0.013,36,0.001,3.3,8,2.4,9.4,47,0.5,8.5,0.8,0.0005,0.000001,6190,19300,2.85,5,0.01,0.5,0.0025,1100,1.64,8.3,20,4.8,0.79,0.14,32.47,1790,1.07,75.5,0.04,0.1,0.5,90,33900,3.68,14,6.2,10,0.0005,0.0005,362,0.09,1.8,5.4,0.002,38,12,0.005,0.05,0.8,7.9,0.016,1.5,100,73.58,2.4,50,0.0025232,5.1,250,99.15,0.25,0.25,0.0015,5,3.8,389,0.34,0.25,12.6,0.5,2,1,9.2,52
629,620,0.019,2.5,13700,13.88,0.3,0.25,0.005,1.5,105,1000,0.34,0.011,0.001,5.7,770,30000,2.4,0.033,100,0.001,17.8,29,3.3,44.1,270,2,35.2,1.7,0.0005,0.000001,17900,73500,11.47,8,0.02,0.5,0.0025,1800,0.9,15.1,54,4.1,0.62,0.84,28.73,5000,5.04,245,0.14,0.5,0.5,120,13500,0.91,40,50.3,10,0.0005,0.0005,186,0.05,2.1,5.7,0.002,85,55,0.005,0.05,3.1,25,0.117,1.5,110,63.01,6.8,50,0.0062468,6,250,99.55,0.25,0.25,0.02,8,15,800,1.14,0.25,41.7,0.5,3.9,5.4,28,169,0.016,2.5,12400,16.36,0.3,0.25,0.001,1.5,101,830,0.3,0.016,0.001,4.4,710,20000,1.96,0.031,88,0.002867,15.4,27,3.3,39.2,250,0.5,31.4,1.6,0.0005,0.000001,16200,67100,8.95,8,0.02,0.5,0.0025,1700,1.84,13.3,47,3.8,1.7,0.77,37.4,4550,3.77,218,0.11,0.5,0.5,110,11900,1.44,35,45.5,10,0.0005,0.0005,181,0.07,2,5.9,0.002,71,46,0.005,0.05,2.8,23,0.072,1.5,120,62.82,6,50,0.0073268,5.4,250,99.97,0.25,0.25,0.007,8,14,723,0.96,0.25,36.2,0.5,3.4,4.9,25.4,148
644,634,0.008,2.5,9740,13.62,0.5,0.25,0.001,1.5,32.3,600,0.2,0.031,0.001,2,740,5000,2.82,0.017,22,0.001,3.4,7,2.7,18.4,81,2,4.9,0.6,0.0005,0.000001,8110,19700,2.91,5,0.02,0.5,0.0025,700,1.66,8.1,14,6.5,1.71,0.16,34.98,2150,1.3,59.7,0.04,0.1,0.5,80,25700,3.44,9,10.2,10,0.0005,0.0005,240,0.07,1.7,5.7,0.002,51,33,0.005,0.1,1.5,6.8,0.021,1.5,110,70.98,2,50,0.005461,5.4,250,98.97,0.25,0.25,0.0015,5,3.6,598,0.42,0.25,18.4,0.5,2,0.9,12.4,25,0.009,2.5,9910,13.37,0.5,0.25,0.001,1.5,32.4,750,0.2,0.039,0.001,0.25,740,30000,2.64,0.019,29,0.0042924,3.5,8,2.7,18.5,92,0.5,4.8,0.8,0.0005,0.000001,8150,21300,2.74,6,0.02,0.5,0.0025,700,1.67,7.8,15,6.6,1.87,0.13,30.87,2220,1.19,61,0.04,0.1,3,80,27100,3.39,9,10.1,10,0.0005,0.0005,246,0.06,1.8,5.8,0.002,69,35,0.005,0.05,1.5,7.5,0.019,1.5,110,72.06,2.1,50,0.0073954,5.3,250,99.42,0.25,0.25,0.008,4,4.3,608,0.38,1.9,18.3,0.5,2,1,12.4,123
659,648,0.005,2.5,8160,14.64,0.2,0.25,0.005,1.5,55.6,420,0.11,0.005,0.001,16,1130,30000,4.1,0.022,20,0.0035928,6.3,16,2.4,32.2,250,0.5,11.8,0.7,0.0005,0.000001,9480,30400,3.95,4,0.01,0.5,0.0025,1700,1.11,3.5,11,9.5,1.52,0.11,31.11,3420,2.98,130,0.06,0.1,0.5,110,32000,3.91,8,29.8,10,0.0005,0.0005,259,0.08,0.9,5.6,0.002,39,24,0.005,0.05,1.5,9.4,0.022,1.5,250,66.03,1.6,50,0.001,4.3,250,98.72,0.25,0.25,0.0015,1.5,1.3,682,0.34,0.25,16.8,0.5,1.1,1,21.6,25,0.005,2.5,8350,14.79,0.2,0.25,0.004,1.5,53.1,450,0.12,0.0025,0.001,15,1250,30000,4.2,0.021,19,0.001,6.3,15,2.2,32.3,220,0.5,11.2,0.6,0.0005,0.000001,10100,25800,4.12,3,0.01,0.5,0.0025,1800,1.12,3.9,9.8,9.7,1.63,0.12,36.4,3540,3.12,137,0.07,0.1,0.5,130,28700,3.92,11,29.1,120,0.0005,0.0005,320,0.08,1,5.9,0.002,7.5,26,0.005,0.05,1.5,8.1,0.043,1.5,90,65.8,1.5,50,0.001,4.9,250,99.2,0.25,0.25,0.003,1.5,1.2,685,0.35,0.25,17.4,0.5,1.2,0.6,21.9,25
674,663,0.006,2.5,5510,13.74,0.2,0.25,0.002,1.5,26.9,1000,0.21,0.013,0.001,5.2,2240,20000,2.52,0.018,80,0.001,3.6,7,2.7,17.1,54,0.5,4.7,1.3,0.0005,0.000001,12400,26100,3.62,9,0.02,0.5,0.0025,600,2.79,22.2,42,4.6,1.68,0.28,33.79,1400,0.97,75.2,0.05,0.2,0.5,140,26800,3.4,31,8.7,10,0.0005,0.0005,591,0.15,2,5.8,0.002,110,28,0.005,0.05,1.4,7.1,0.005,1.5,100,69.39,5.1,50,0.0024104,8,250,98.75,0.25,0.25,0.0015,10,12,703,0.45,2,25.3,0.5,6.7,1.8,14.6,63,0.006,2.5,6090,13.77,0.2,0.25,0.001,1.5,31,1000,0.23,0.009,0.001,4.8,2600,20000,2.56,0.022,71,0.0022894,3.9,7,2.7,17,54,0.5,5.1,1.2,0.0005,0.000001,12300,23300,3.73,7,0.01,0.5,0.0025,800,2.7,22.5,38,5.6,1.73,0.3,35.08,1770,0.98,90.2,0.05,0.1,0.5,180,26200,3.36,30,9.6,10,0.0005,0.0005,615,0.16,3.2,5.7,0.002,93,27,0.005,0.05,1.8,6.6,0.024,1.5,110,69.57,4.7,50,0.0032758,8.2,250,99.08,0.25,0.25,0.0015,11,10,822,0.47,2.3,24.9,0.5,7.6,1.8,17.7,25
689,679,0.008,2.5,7710,14.44,0.4,0.25,0.001,1.5,59,740,0.13,0.013,0.001,4.4,460,5000,1.19,0.019,71,0.001,5.8,10,2.2,17.2,90,0.5,15.2,1.4,0.0005,0.000001,11900,42900,6.02,7,0.02,0.5,0.0025,1200,2.11,21.8,40,3.7,0.76,0.61,36.22,3030,1.93,88.1,0.06,0.1,0.5,80,12300,1.45,20,17.4,10,0.0005,0.0005,132,0.05,1.8,5.7,0.002,68,19,0.019,0.05,2.5,15,0.028,1.5,120,70.25,4.7,50,0.0023428,3.3,250,98.82,1.8,1,0.015,14,11,452,0.56,2,19.7,0.5,4,3.4,18.2,25,0.007,2.5,7230,13.8,0.3,0.25,0.001,1.5,56.3,740,0.12,0.006,0.001,3.1,410,20000,1.15,0.018,63,0.0021454,5.7,9,2.1,16.2,92,0.5,14.7,1.4,0.0005,0.000001,11200,41000,5.47,7,0.01,0.5,0.0025,1200,2.15,15.1,38,3.7,0.76,0.53,36.08,2920,1.77,81.6,0.06,0.1,0.5,80,12100,1.55,24,16,10,0.0005,0.0005,120,0.05,1.4,5.8,0.002,61,19,0.005,0.05,2.3,14,0.025,1.5,120,71.56,4.4,50,0.002874,3,250,98.84,0.9,0.8,0.016,8,9.5,426,0.52,0.25,18.5,0.5,3.5,3.5,17.4,94
704,698,0.012,2.5,19100,15.46,4,4.4,0.005,1.5,152,490,0.33,0.052,0.001,1.7,3530,20000,4.03,0.033,52,0.002138,16.8,21,3.5,118,260,2,34.8,1,0.0005,0.000001,27300,43900,6.68,3,0.02,0.5,0.0025,3800,1.57,16.7,18,12.8,2.52,0.21,41.87,13500,4.05,304,0.1,0.1,0.5,220,20600,2.99,14,55.4,80,0.0005,0.0005,896,0.21,1.3,5.8,0.002,79,33,0.039,0.5,5.3,15,0.054,1.5,140,62.06,2.5,50,0.0083492,12.4,250,100.33,0.25,0.25,0.017,8,4.2,1380,0.65,1,63.3,0.5,4.9,1.4,36.9,25,0.013,2.5,19200,15.03,4,4.9,0.001,1.5,165,550,0.32,0.05,0.001,1.1,3480,30000,3.98,0.039,57,0.002495,17,25,3.8,115,290,2,35.5,1.1,0.0005,0.000001,27300,49400,6.54,4,0.01,0.5,0.0025,3900,1.54,15.7,20,12.6,2.56,0.28,34.11,13800,3.98,306,0.1,0.2,0.5,210,23100,2.93,15,54.4,10,0.0005,0.0005,920,0.19,1.4,6,0.002,69,27,0.046,0.4,5.4,17,0.045,1.5,120,60.95,3,50,0.0086604,12.8,250,98.43,1.5,0.25,0.02,9,4.6,1390,0.64,0.25,64.5,0.5,4.8,1.6,37.8,108
719,712,0.022,2.5,31700,15.59,3.2,4.3,0.005,4,173,750,3.32,0.104,0.001,6.3,2850,30000,2.46,0.058,250,0.001,9.8,13,4.7,39.9,110,3,22.9,4.2,0.0005,0.000001,20400,43600,5.73,27,0.03,0.5,0.0025,2400,2.8,86.3,140,14.3,4.59,0.74,31.36,5890,1.73,629,0.16,0.3,10,330,28200,3.53,77,29.6,10,0.0005,0.0005,176,0.14,7.5,6.1,0.002,110,51,0.104,0.3,3.7,9.8,0.062,4,100,61.16,12,50,0.0056216,187,250,98.76,11,1.4,0.019,25,21,1410,0.89,4.9,41.7,0.5,31.7,4.9,68.3,124,0.019,2.5,31700,15.61,3.3,4.5,0.007,1.5,175,760,3.39,0.097,0.001,6.1,2580,30000,2.48,0.082,250,0.001,9.5,13,4.7,38.8,110,3,22.6,4.2,0.0005,0.000001,19700,43300,5.7,27,0.03,0.5,0.0025,2500,2.78,89.7,140,13.7,4.52,0.73,29.89,5660,1.72,610,0.16,0.4,9,620,28200,3.52,79,28.7,10,0.0005,0.0005,205,0.14,7.5,6.1,0.002,110,49,0.054,0.4,3.5,9.8,0.049,3,120,61.54,11,50,0.0070102,182,250,99.07,11,1.6,0.014,25,21,1260,0.9,4.4,38.8,0.5,30.6,4.9,68,122
734,723,0.046,2.5,35300,15.63,6.5,4.5,0.001,5,119,600,0.87,0.112,0.001,3,4310,20000,2.78,0.047,81,0.0031104,24.7,26,6.1,113,200,2,36.2,1.1,0.0005,0.000001,42700,46000,6.84,4,0.02,0.5,0.0025,4000,2.23,33.5,35,29.6,5.72,0.25,35.59,15600,3.7,543,0.1,0.7,0.5,410,22200,2.98,24,62.4,80,0.0005,0.0005,362,0.09,6.4,5.7,0.002,92,58,0.039,0.05,8.6,14,0.121,1.5,110,59.31,3.6,50,0.0060362,22.1,250,100.03,0.25,0.25,0.015,21,13,2090,0.66,1,81.1,0.5,7.8,1.3,55.1,25,0.043,2.5,34700,15.51,6,6.4,0.001,5,114,500,0.84,0.115,0.001,3.7,4380,20000,2.83,0.046,99,0.001,24.7,30,6.3,110,210,3,34.4,1.2,0.0005,0.000001,42000,52500,6.65,5,0.02,0.5,0.0025,3900,2.23,32.5,42,29.2,5.26,0.28,31.21,15400,3.64,541,0.1,0.6,0.5,410,22700,2.99,27,60.6,10,0.0005,0.0010268,370,0.09,6.4,5.5,0.002,120,56,0.044,0.05,8.4,16,0.132,1.5,130,59.53,4,50,0.0037206,22.4,250,99.47,3.2,0.25,0.024,21,15,2080,0.65,2.2,79.8,0.5,7.5,1.4,54.1,112
749,748,0.006,2.5,16700,13.99,1.5,1.2,0.001,1.5,60.4,550,0.38,0.059,0.001,2.2,880,20000,2.25,0.024,34,0.0025724,6,9,3.3,31.1,99,1,9.8,0.9,0.0005,0.000001,14500,26300,3.85,6,0.03,0.5,0.0025,1100,1.95,12.6,19,10.1,2.22,0.2,32.98,3470,1.58,146,0.05,0.1,0.5,90,22100,3.11,13,14.9,10,0.0005,0.0005,169,0.04,1.5,5.7,0.002,53,24,0.034,0.2,2.9,9.3,0.068,1.5,100,70.21,2.2,50,0.006,6.1,250,99.8,0.25,0.25,0.0015,7,5.4,1070,0.54,1.5,32.4,0.5,3.4,1.4,23.8,97,0.005,2.5,16100,13.95,1.6,1.3,0.001,1.5,58.9,610,0.38,0.055,0.001,2.9,850,20000,2.31,0.023,35,0.001,5.8,10,3.3,29.9,94,1,9.4,0.9,0.0005,0.000001,14000,27700,3.86,6,0.03,0.5,0.0025,1100,1.96,12.6,19,9.8,2.16,0.21,35.74,3380,1.65,144,0.05,0.1,0.5,90,23200,3.16,11,14.7,45,0.0005,0.0011362,166,0.04,1,5.7,0.002,71,25,0.026,0.05,2.8,9.5,0.073,1.5,100,69.62,2.2,50,0.0050528,5.9,250,99.29,0.25,0.25,0.0015,7,5.7,1030,0.54,2.1,31.2,0.5,3.3,1.5,23.1,25
764,761,0.006,2.5,4610,14.2,0.1,0.25,0.001,1.5,27.7,610,0.12,0.006,0.001,0.25,1520,30000,3.38,0.014,53,0.001,7,12,2,32.8,100,0.5,8.2,1.1,0.0005,0.000001,14600,28700,3.88,6,0.01,0.5,0.0025,1000,1.56,11.1,28,4.3,0.59,0.2,36.85,2000,1.51,126,0.06,0.2,0.5,90,32100,3.82,18,17.9,10,0.0005,0.0005,560,0.12,0.8,5.7,0.002,48,13,0.005,0.05,1.1,10,0.015,1.5,140,70.31,3.4,50,0.002039,11.6,250,99.82,0.25,0.25,0.004,5,4.5,471,0.4,0.25,35,0.5,2.8,1.2,11.6,25,0.006,2.5,4630,13.98,0.1,0.25,0.001,1.5,28,960,0.13,0.008,0.001,2.9,1580,30000,3.28,0.015,80,0.001,7.2,14,2.1,31,130,1,8.2,1.6,0.0005,0.000001,13200,37300,3.71,6,0.01,0.5,0.0025,1000,1.6,11.2,42,4.2,0.67,0.26,31.71,1960,1.47,122,0.06,0.1,0.5,120,38200,3.98,27,18.1,10,0.0005,0.0005,579,0.11,0.8,5.5,0.002,7.5,15,0.005,0.05,1.1,14,0.018,1.5,180,70.65,5.1,50,0.001,6.8,250,99.89,0.25,0.6,0.0015,5,11,465,0.36,0.25,32.5,0.5,2.9,1.4,11.4,25
779,777,0.02,2.5,21400,16.62,0.6,2,0.001,1.5,118,790,0.35,0.022,0.001,4.3,730,5000,1.78,0.039,98,0.001,11.1,22,2.7,52.2,180,1,29.6,1.8,0.0005,0.000001,18500,67700,8.75,8,0.04,0.5,0.0025,2300,2.24,17.2,52,7,2.73,0.73,32.98,5270,3.61,112,0.09,0.2,0.5,110,12800,1.34,40,38.6,10,0.0005,0.0005,319,0.09,3.7,5.8,0.002,83,59,0.005,0.05,4.6,27,0.122,1.5,210,61.84,7.6,50,0.0036908,5.3,250,99.91,0.25,0.25,0.03,9,15,1400,0.82,0.25,53.8,0.5,4.9,4.9,34,84,0.021,2.5,20400,16.05,0.8,1.2,0.003,1.5,110,740,0.33,0.017,0.001,4.7,710,5000,1.7,0.035,110,0.001,10.2,20,2.6,48.6,190,0.5,28.5,1.8,0.0005,0.000001,17900,67200,8.47,7,0.03,0.5,0.0025,2200,2.23,20.5,57,6.8,2.62,0.69,37.5,5190,3.5,112,0.08,0.3,0.5,100,13300,1.29,46,37.3,10,0.0005,0.0005,307,0.08,4.2,5.8,0.002,100,55,0.005,0.05,4.5,27,0.125,1.5,200,63.11,8.3,50,0.0029692,5.4,250,99.92,1.2,1.2,0.029,14,21,1290,0.78,1.8,50.2,0.5,4.7,4.5,32.4,130
