"F1_*Loc","F2_*Loc","XCOO","YCOO","F1_Ag","F1_Ag_INAA","F1_Al","F1_Al2O3","F1_As","F1_As_INAA","F1_Au_INAA","F1_B","F1_Ba","F1_Ba_INAA","F1_Be","F1_Bi","F1_Br","F1_Br_INAA","F1_Ca","F1_Ca_INAA","F1_CaO","F1_Cd","F1_Ce_INAA","F1_Cl","F1_Co","F1_Co_INAA","F1_Cond","F1_Cr","F1_Cr_INAA","F1_Cs_INAA","F1_Cu","F1_Eu_INAA","F1_F","F1_F_ionselect","F1_Fe","F1_Fe_INAA","F1_Fe2O3","F1_Hf_INAA","F1_Hg","F1_Hg_INAA","F1_Ir_INAA","F1_K","F1_K2O","F1_La","F1_La_INAA","F1_Li","F1_LOI","F1_Lu_INAA","F1_Mass_INAA","F1_Mg","F1_MgO","F1_Mn","F1_MnO","F1_Mo","F1_Mo_INAA","F1_Na","F1_Na_INAA","F1_Na2O","F1_Nd_INAA","F1_Ni","F1_Ni_INAA","F1_NO2","F1_NO3","F1_P","F1_P2O5","F1_Pb","F1_pH","F1_PO4","F1_Rb","F1_S","F1_Sb","F1_Sb_INAA","F1_Sc","F1_Sc_INAA","F1_Se","F1_Se_INAA","F1_Si","F1_SiO2","F1_Sm_INAA","F1_Sn_INAA","F1_SO4","F1_Sr","F1_Sr_INAA","F1_Sum","F1_Ta_INAA","F1_Tb_INAA","F1_Te","F1_Th","F1_Th_INAA","F1_Ti","F1_TiO2","F1_U_INAA","F1_V","F1_W_INAA","F1_Y","F1_Yb_INAA","F1_Zn","F1_Zn_INAA","F2_Ag","F2_Ag_INAA","F2_Al","F2_Al2O3","F2_As","F2_As_INAA","F2_Au_INAA","F2_B","F2_Ba","F2_Ba_INAA","F2_Be","F2_Bi","F2_Br","F2_Br_INAA","F2_Ca","F2_Ca_INAA","F2_CaO","F2_Cd","F2_Ce_INAA","F2_Cl","F2_Co","F2_Co_INAA","F2_Cond","F2_Cr","F2_Cr_INAA","F2_Cs_INAA","F2_Cu","F2_Eu_INAA","F2_F","F2_F_ionselect","F2_Fe","F2_Fe_INAA","F2_Fe2O3","F2_Hf_INAA","F2_Hg","F2_Hg_INAA","F2_Ir_INAA","F2_K","F2_K2O","F2_La","F2_La_INAA","F2_Li","F2_LOI","F2_Lu_INAA","F2_Mass_INAA","F2_Mg","F2_MgO","F2_Mn","F2_MnO","F2_Mo","F2_Mo_INAA","F2_Na","F2_Na_INAA","F2_Na2O","F2_Nd_INAA","F2_Ni","F2_Ni_INAA","F2_NO2","F2_NO3","F2_P","F2_P2O5","F2_Pb","F2_pH","F2_PO4","F2_Rb","F2_S","F2_Sb","F2_Sb_INAA","F2_Sc","F2_Sc_INAA","F2_Se","F2_Se_INAA","F2_Si","F2_SiO2","F2_Sm_INAA","F2_Sn_INAA","F2_SO4","F2_Sr","F2_Sr_INAA","F2_Sum","F2_Ta_INAA","F2_Tb_INAA","F2_Te","F2_Th","F2_Th_INAA","F2_Ti","F2_TiO2","F2_U_INAA","F2_V","F2_W_INAA","F2_Y","F2_Yb_INAA","F2_Zn","F2_Zn_INAA","DATE","*SAMP","ELEV","UTM","*COUN","*ASP","*GENLAN","*TOPO","*FORDEN","*TREESPE","TRHIGH","RELAS","*BUSHDEN","*BUSHSPEC","*GRVEGETATIO","*MOSS","*TOP","AoMEAN","*AoRANGE","HUMNO","HUMTHI","*C_PAR","*C_grain","*COLA","*COLE","LOWDE","*COLB","LOWDB","*COLC","TOPC","*WEATH","TEMP","CATLEV0","CATLEV1","CATLEV2","LITO","F1_Ag","F1_Ag","F2_Ag","F1_Al2O3","F1_Al2O3","F2_Al2O3","F1_Au_INAA","F1_Au_INAA","F2_Au_INAA","F1_Ba_INAA","F1_Ba_INAA","F2_Ba_INAA"
700,67,684311.1,7624313,0.006,2.5,7050,14.64,0.4,0.25,0.001,1.5,62.2,650,0.14,0.018,0.001,3.7,2840,40000,4.56,0.015,55,0.001,7.1,19,2.4,33.3,210,0.5,31.8,1.4,0.0005,0.000001,14000,55500,7.27,7,0.01,0.5,0.0025,1400,1.25,15.6,28,4.6,0.93,0.57,30.47,3930,3.35,125,0.11,0.2,0.5,230,25100,3.14,28,24.6,10,0.0005,0.0005,664,0.15,1,5.9,0.002,7.5,27,0.005,0.05,2,20,0.045,1.5,80,63.65,4.3,50,0.001,8.3,250,99.77,0.25,1.1,0.015,5,4,741,0.72,1.2,36.2,0.5,4.5,4,17.1,146,0.005,2.5,6410,14.13,0.2,0.25,0.004,3,49.7,560,0.15,0.006,0.001,3.8,2830,30000,4.17,0.023,42,0.001,6.5,16,2.4,24.2,150,0.5,12,1.3,0.0005,0.000001,10900,42500,5.67,6,0.01,0.5,0.0025,800,1.22,10.2,22,3.4,0.82,0.45,34.9,3100,2.55,128,0.08,0.1,0.5,300,29100,3.31,19,15.6,10,0.0005,0.0005,518,0.12,0.8,5.9,0.002,35,21,0.005,0.05,2.2,18,0.026,1.5,190,66.86,4.1,50,0.0039106,8.7,250,99.52,0.25,0.5,0.008,3,2.8,691,0.6,0.25,29.4,0.5,4.4,3,13.1,25,"950827  ","Smirnov",110,36,"RUS","FLAT","PLAIN","TOP","MD","PI.BI.",4,15,"S","..WI","L..BMO","HSDC","M8",2,"1_4",6,2,"TILL",,,,2,,12,,36,"RAIN",12,1,510,1,22,0.000707106781186547,0.0055,25.712973861329,0.360624458405139,14.385,5.01389584157301,0.00212132034355964,0.0025,169.705627484771,63.6396103067893,605,21.0378877047237
155,109,581616.6,7503319,0.009,2.5,18000,14.9,0.7,0.25,0.001,1.5,68.7,570,0.31,0.095,0.001,3.6,1080,20000,3.04,0.031,34,0.0027234,8.1,14,3.7,37.9,120,3,17.3,0.9,0.0005,0.000001,14900,32600,4.56,6,0.04,0.5,0.0025,2400,1.8,12.6,20,17.8,3.43,0.26,36.83,5300,2.24,136,0.06,0.1,0.5,90,28600,3.22,19,22.5,10,0.0005,0.0005,295,0.08,2.1,5.8,0.002,56,33,0.022,0.05,2.7,13,0.057,1.5,160,66.04,2.7,50,0.0032582,5.1,250,99.93,0.25,0.25,0.007,6,6,1080,0.58,3.2,35,0.5,3.2,1.6,27.3,25,0.007,2.5,19800,15.08,0.7,0.25,0.005,1.5,77.2,500,0.31,0.089,0.001,0.25,1020,40000,3.09,0.041,35,0.001,9.2,16,3.9,42,120,3,18.7,0.9,0.0005,0.000001,17500,37100,4.72,6,0.03,0.5,0.0025,3000,1.81,11,19,21.1,3.77,0.28,32.82,6160,2.36,147,0.06,0.1,0.5,80,28400,3.18,16,27.3,10,0.0005,0.0005,317,0.08,2.9,5.5,0.002,77,38,0.021,0.05,2.7,14,0.063,1.5,150,65.57,3,50,0.0042972,5.1,250,100.3,0.8,0.25,0.007,6,5.8,1130,0.58,1.9,39.2,0.5,2.8,1.7,34,25,"950706  ","RPVM",275,35,"FIN","S","PLAIN","CONVLOW","MD","S.BI",16,16,"NO","NO","B.CRMO","HSSC","M10",3.5,"2.0_5.0",5,2.5,"TILL",,,,7,,24,,44,"DRY",12,3,65,4,1,0.00141421356237309,0.008,35.3553390593274,0.127279220613578,14.99,1.69818840044801,0.00282842712474619,0.003,188.561808316413,49.4974746830583,535,18.5037288534797
242,118,512429,7781904,0.027,2.5,8310,13.96,0.5,0.25,0.005,1.5,39.8,750,0.23,0.018,0.001,0.25,1320,20000,2.23,0.022,40,0.001,5.4,7,2,15,23,0.5,12.4,1.1,0.0005,0.000001,14800,21600,3.16,3,0.01,0.5,0.0025,1300,2.16,9.5,23,11.9,1.35,0.23,34.73,5290,1.26,213,0.06,0.1,0.5,70,27200,3.27,17,10.9,10,0.0005,0.0005,289,0.06,1.5,6,0.002,59,21,0.005,0.05,2.7,7.2,0.03,1.5,100,71.72,2.7,50,0.0023502,4,250,99.49,0.25,0.25,0.038,6,4.9,557,0.25,0.25,22.9,0.5,3.6,1.5,30.3,59,0.011,2.5,8160,14.16,0.9,0.25,0.001,1.5,47.4,890,0.25,0.026,0.001,0.25,1240,20000,2.26,0.051,50,0.001,5.3,7,1.7,14.6,34,0.5,17.3,1.1,0.0005,0.000001,15300,24400,3.33,3,0.01,0.5,0.0025,1400,2.22,9.1,28,9.7,1.39,0.27,35.55,4950,1.36,198,0.06,0.1,0.5,80,30700,3.35,21,9.9,10,0.0005,0.0005,266,0.07,4.2,5.6,0.002,87,20,0.005,0.05,2.9,11,0.044,5,100,70.66,3.5,50,0.001,3.8,600,99.12,0.25,0.25,0.011,5,5.8,638,0.27,0.25,26.1,0.5,3.7,2,37.7,25,"950723  ","OJGKTV",210,35,"NOR","FLAT","PLAIN","FLAT","NO","NO",0,0,"S","BI","C.OL.M","PSSC","M10",1.5,"1_2",8,1.5,"FLUVG",,,,2,,18,,32,"MIX",8,1,68,2,10,0.0113137084989848,0.019,119.091668410366,0.141421356237309,14.06,2.01168358801293,0.00282842712474619,0.003,188.561808316413,98.9949493661167,820,24.1451096014919
558,133,733584.8,7640599,0.02,2.5,25000,15.68,2.3,4.1,0.001,4,224,590,0.52,0.059,0.001,6.7,9340,40000,4.89,0.035,96,0.0023588,17.3,24,4.9,78.9,200,0.5,56.6,2,0.001538,0.000001,37200,52500,7.7,5,0.01,0.5,0.0025,4700,1.71,42.7,53,16.6,3.11,0.22,33.05,12700,3.58,389,0.1,0.1,0.5,1020,26900,3.25,41,56.1,10,0.0005,0.0005,1170,0.26,3.9,6,0.002,85,65,0.005,0.05,7.7,18,0.035,1.5,140,58.63,6.7,50,0.002199,48,250,99.74,0.25,0.8,0.009,14,9.6,2190,0.83,2.1,80.7,0.5,12.3,1.9,59.7,155,0.018,2.5,23300,15.59,3,2.3,0.001,1.5,198,660,0.53,0.041,0.001,7.3,8800,40000,4.93,0.029,100,0.0024382,15.4,25,4.9,73.7,190,2,44.7,2.1,0.0016642,0.000001,34400,55800,7.6,6,0.01,0.5,0.0025,4300,1.71,36.4,51,15.4,3.02,0.4,35.36,12200,3.6,339,0.1,0.1,0.5,930,27700,3.27,42,48.4,10,0.0005,0.0005,1120,0.26,3.5,6,0.002,50,61,0.005,0.05,7.3,21,0.047,1.5,120,58.37,7.4,50,0.0052436,42.5,250,99.31,1.5,1,0.018,11,7.7,2110,0.86,0.25,77.3,0.5,10.6,2.5,54.9,103,"950818  ","Smirnov",80,36,"RUS","FLAT","PLAIN","FLAT","MD","PI..SPBI",6,1,"MD",".BI.","C.O.MLP","HSDC","M6",3,"2_5",7,3,"FLUVG",,,-9999,-9999,,11,,17,"DRY",18,1,510,3,20,0.0014142135623731,0.019,14.8864585512958,0.0636396103067892,15.635,0.814066009680706,0,0.001,0,49.4974746830583,625,15.8391918985787
688,146,803908.8,7433651,0.014,2.5,7300,14.97,0.5,0.25,0.009,1.5,41,470,0.14,0.031,0.001,2.8,3290,40000,4.07,0.015,29,0.001,4.4,12,2,22.8,100,0.5,14.8,0.9,0.0005,0.000001,8300,30900,3.48,5,0.01,0.5,0.0025,800,1.71,7.7,13,6,0.95,0.26,31.68,3100,1.72,95.8,0.06,0.1,0.5,370,28600,3.91,11,17.7,10,0.0005,0.0005,336,0.07,1.1,5.8,0.002,59,16,0.011,0.05,1.2,9.5,0.005,1.5,260,68.66,2.3,50,0.0027506,11.1,250,99.96,0.25,0.25,0.004,3,3,530,0.37,0.25,15.8,0.5,3.9,1.7,15.4,25,0.009,2.5,7770,14.36,0.3,0.25,0.001,1.5,15.2,440,0.14,0.014,0.001,0.25,3210,40000,5.03,0.02,27,0.001,4.7,16,1.9,23.3,150,1,12.4,0.9,0.0005,0.000001,8240,35800,5.65,4,0.01,0.5,0.0025,500,1.25,5.8,13,5.1,1.12,0.39,32.82,3300,2.6,90.6,0.09,0.1,0.5,350,36600,3.28,16,25,10,0.0005,0.0005,270,0.07,1.1,5.9,0.002,81,18,0.005,0.5,1.1,15,0.022,1.5,590,64.35,2.6,50,0.001,9.7,250,98.32,2,0.25,0.006,1.5,2.6,479,0.5,0.25,15,0.5,3.5,2.1,15.2,25,"950706  ","Smirnov",90,36,"RUS","FLAT","FLAT","FLAT","MD","PI..SP",8,3,"NO","NO","H.L.BCM","HSSC","D7",1,"0,5_3",12,1,"FLUVG",,,,5,,62,,72,"DRY",15,2,516,0,31,0.00353553390593274,0.0115,61.4875461901346,0.431335136523795,14.665,5.88251123796515,0.00565685424949238,0.005,226.274169979695,21.2132034355964,455,9.32448502663579
402,153,491303.6,7582636,0.009,2.5,22900,14.24,3.1,0.25,0.001,1.5,147,710,0.46,0.04,0.001,4.2,2210,20000,3.21,0.037,63,0.001,10.9,18,3.5,52.2,120,1,18.6,1.6,0.0005,0.000001,27000,50400,6.87,6,0.03,0.5,0.0025,1300,1.68,19.7,38,7.4,3.36,0.4,34.27,5200,2.73,163,0.08,0.1,7,210,18600,2.28,25,25.5,10,0.0005,0.0005,527,0.12,3.4,5.9,0.002,52,65,0.072,0.05,5.9,18,0.082,1.5,170,63.44,4.8,50,0.0066028,15.5,250,98.88,0.7,0.7,0.012,7,6.2,1390,0.87,0.25,74.2,0.5,9,2.6,31.6,91,0.008,2.5,20800,14.05,0.9,0.25,0.001,1.5,142,800,0.45,0.026,0.001,0.25,1770,20000,3.12,0.028,64,0.001,10,19,3.4,45.9,140,0.5,16.6,1.6,0.0005,0.000001,24400,52300,6.82,7,0.02,0.5,0.0025,1300,1.69,17.1,38,7,3.23,0.46,36.29,4790,2.66,155,0.08,0.1,0.5,170,20700,2.25,33,21.5,10,0.0005,0.0005,461,0.12,3,5.9,0.002,60,60,0.027,0.05,5.3,22,0.071,1.5,200,64.85,5.4,50,0.0076744,13.1,250,99.72,0.25,0.7,0.014,6,6.2,1340,0.84,0.25,71.1,0.5,8,2.5,28.4,80,"950704  ","MLRMADR",285,35,"FIN","NE","FLAT","FLATLOW","MD","BI.S.PJUN",10,12,"S",,"MO.BCR","HSSC","D10",2.1,"0.2_4.0",5,1,"TILL&SAP",-9999,-9999,-9999,3,-9999,21,-9999,40,"DRY",18,1,71,4,32,0.000707106781186547,0.0085,16.637806616154,0.134350288425444,14.145,1.89961524815049,0,0.001,0,63.6396103067893,755,16.8581749157058
268,157,560960,7810912,0.008,2.5,16700,13.3,5.3,5.7,0.001,1.5,44.8,340,0.77,0.157,0.001,4.7,160,5000,0.4,0.012,72,0.004141,15,15,5.1,25.7,75,3,18.1,1.2,0.0005,0.000001,38000,42400,6.08,9,0.03,0.5,0.0025,1000,2.71,8.6,38,31.7,4.62,0.54,31.05,4440,1.39,605,0.08,0.1,4,40,7800,1.01,32,26.6,50,0.0005,0.0016594,309,0.08,12.4,5.3,0.002,110,55,0.049,0.3,3.2,12,0.244,1.5,130,69.09,4.6,50,0.0068758,6.6,250,99.58,1.7,0.9,0.02,10,12,97.3,0.83,2,22.9,0.5,6.5,3.6,58.9,109,0.007,2.5,13500,13.44,5.1,8.6,0.001,1.5,104,480,0.96,0.159,0.001,0.25,250,5000,0.42,0.024,93,0.002476,12.1,15,3.4,23.1,91,5,16.8,1.4,0.0005,0.000001,39900,49400,6.32,9,0.01,0.5,0.0025,1000,2.89,9.3,46,28.2,3.9,0.65,33.16,4740,1.48,624,0.09,0.1,2,40,10100,1,36,24.2,10,0.0005,0.0011004,352,0.09,9.2,5.7,0.002,120,21,0.058,0.6,3.3,17,0.094,1.5,100,69.31,6.1,50,0.0042262,7.5,250,99.74,1.1,0.25,0.022,11,13,106,0.8,3.3,21.8,0.5,7.4,4.3,51.3,115,"950729  ","GKJHTV",100,35,"NOR","FLAT","SLOPE","UPBRTER","D","BI",6,6,"S","BI","C.BOM.L","HSDC","M10",2,"2_4",7,2,"FLUV",-9999,,,5,,24,,63,"MIX",14,1,68,3,9,0.000707106781186547,0.0075,18.8561808316413,0.0989949493661158,13.37,1.48085189777286,0,0.001,0,98.9949493661167,410,48.2902192029837
403,161,445850,7731780,0.009,2.5,11800,13.08,0.6,0.25,0.008,1.5,50.3,390,0.23,0.034,0.001,10,4480,30000,4.77,0.05,33,0.001,15.8,30,2.3,110,300,1,42.6,1.2,0.0005,0.000001,25400,60200,7.75,5,0.01,0.5,0.0025,1800,0.99,12.3,18,8.3,1.71,0.35,29.67,10100,5.1,256,0.11,0.1,0.5,420,31500,3.92,16,56.7,85,0.0005,0.0005,485,0.12,1,5.9,0.002,33,37,0.019,0.05,5,23,0.075,1.5,150,61.29,3.5,50,0.001,9.8,250,99.78,0.25,0.5,0.007,5,3.9,1260,0.94,0.25,68.6,0.5,6.7,2.4,24.7,122,0.01,2.5,12500,13.47,1.1,2.1,0.001,1.5,66.1,250,0.28,0.04,0.001,13,3940,30000,4.56,0.053,29,0.001,18.3,33,3.3,118,330,0.5,50.5,1.1,0.0005,0.000001,27400,59400,8.17,5,0.01,0.5,0.0025,2000,1.02,13.3,18,9.1,2.33,0.38,36.75,11100,5.53,264,0.11,0.1,0.5,370,31300,3.72,15,64.8,130,0.0005,0.0005,460,0.11,1.5,6.2,0.002,41,42,0.027,0.05,5.1,28,0.13,3,140,59.76,3.6,50,0.003363,9.3,250,99.73,0.25,0.25,0.02,6,3.7,1240,0.94,0.25,75.1,0.5,7,2.5,28.2,101,"950720  ","GKJHOJ",330,35,"NOR","FLAT","PLAIN","UPBRFLAT","D","BI",2,0,"MD","BI..JU","C.BML.GO","PSDC","M10",2,"1_6",6,2,"TILL",,,,2,,16,,28,"DRY",12,1,68,2,1,0.000707106781186548,0.0095,14.8864585512958,0.275771644662754,13.275,4.15475170866673,0.00494974746830583,0.0045,219.988776369148,98.9949493661167,320,61.8718433538229
521,169,429450,7827450,0.01,2.5,11700,13.7,1.1,1.6,0.004,1.5,47.2,720,0.28,0.074,0.001,4.8,2190,5000,2.05,0.031,110,0.0037936,9.3,11,4,17,49,2,18.4,1.5,0.0005,0.000001,19200,31300,4.31,11,0.03,0.5,0.0025,3600,2.38,30.8,52,9.2,2.17,0.79,31.68,4670,1.06,206,0.09,0.1,0.5,70,21500,2.44,37,13.9,97,0.0005,0.0005,651,0.14,5,5.8,0.002,98,31,0.024,0.4,2.6,13,0.103,1.5,80,70.36,6.2,50,0.0036518,13.3,250,99.47,1.2,1,0.01,14,12,1270,0.76,3,22.6,0.5,10.2,4.9,37.2,25,0.016,2.5,9880,13.46,1.7,0.25,0.001,1.5,45.5,710,0.2,0.062,0.001,8.3,2140,20000,2.14,0.037,100,0.001,7.9,9,3.8,14.7,44,2,14,1.6,0.0005,0.000001,16400,29500,3.8,12,0.01,0.5,0.0025,3300,2.39,25.5,48,7.9,1.96,0.8,33.47,4130,0.96,173,0.08,0.1,0.5,50,21700,2.36,38,12.8,10,0.0005,0.0005,707,0.15,5.8,5.4,0.002,72,21,0.005,0.05,2.2,15,0.06,1.5,130,71.2,6.6,50,0.0082812,10.7,250,99.23,0.25,0.25,0.014,12,11,1020,0.74,1.7,18.9,0.5,7.8,5.3,31.5,25,"950711  ","CRJHPC",70,35,"NOR","S","LOWMO","CONCLOW","MD","BI",4,0,"NO","NO","B.CO.GM","PSSC","M10",6,"4_12",5,3,"TILL",,,,7,,20,,50,"MIX",8,1,222,0,10,0.00424264068711929,0.013,65.2713951864505,0.16970562748477,13.58,2.49934650198483,0.00212132034355964,0.0025,169.705627484771,7.07106781186548,715,1.97792106625608
279,173,667182.8,7559923,0.004,2.5,7350,13.79,0.2,0.25,0.001,1.5,29.1,670,0.15,0.015,0.001,3,1440,20000,3.15,0.018,27,0.001,4.7,12,2.7,18.1,120,0.5,7.9,1,0.0005,0.000001,7990,30200,3.97,6,0.01,0.5,0.0025,1000,1.62,9.2,16,6,1.2,0.35,36.07,2080,1.67,94.3,0.06,0.1,0.5,110,28200,3.63,10,10.9,10,0.0005,0.0005,289,0.07,1.5,5.6,0.002,35,13,0.005,0.3,1.6,11,0.015,1.5,160,70.02,2.6,50,0.0045622,5.9,500,99.63,1.6,0.25,0.0015,4,4.8,582,0.44,1.5,17.2,0.5,2.6,2.1,16.3,25,0.009,2.5,7950,13.63,0.5,0.25,0.006,1.5,25,610,0.14,0.018,0.001,4.9,1530,30000,3.1,0.026,21,0.001,3.8,9,2.9,20,110,0.5,6.3,0.7,0.0005,0.000001,8060,24600,3.92,5,0.01,0.5,0.0025,800,1.6,7.9,13,5.4,1.49,0.22,38.04,2060,1.68,73.9,0.05,0.1,0.5,120,31600,3.41,11,10.7,10,0.0005,0.0005,285,0.06,1.4,5.8,0.002,39,26,0.005,0.05,1.6,10,0.058,1.5,170,69.72,2.1,50,0.0054668,5.8,250,99.09,0.25,0.25,0.008,3,3.1,582,0.43,0.25,19,0.5,2.6,1.7,14.6,75,"950801  ","Smirnov",140,36,"RUS","SW","RIDGE","LOWBRMED","D","SP..BI",12,18,"MD","BI..","M.B.L","HSDC","M5",4,"2_6",8,3,"FLUVG",,,,12,,27,,56,"MIX",18,1,510,2,1,0.00353553390593274,0.0065,108.785658644084,0.113137084989846,13.71,1.65043158263817,0.00353553390593274,0.0035,202.030508910442,42.4264068711929,640,13.2582521472478
361,177,742736.3,7694889,0.034,2.5,33900,16.42,1.6,0.25,0.001,1.5,180,740,0.51,0.122,0.001,24,5400,20000,3.27,0.054,60,0.0061888,18.7,24,5.7,101,170,3,29.2,1.3,0.0005,0.000001,41700,53800,7.42,6,0.02,0.5,0.0025,7700,2.47,20.4,29,37.4,5,0.28,29.96,14900,3.27,374,0.09,0.9,0.5,650,24800,3.06,26,52.8,10,0.0005,0.0005,644,0.16,4.6,5.8,0.002,110,83,0.005,0.05,8.9,17,0.087,1.5,230,57.75,4.3,50,0.0092528,16.8,250,99.74,1.3,0.7,0.017,13,8.3,2570,0.84,0.25,93.5,0.5,7,1.8,79.1,132,0.016,2.5,30100,16.51,1.4,0.25,0.001,4,216,700,0.56,0.133,0.001,0.25,6040,20000,3.39,0.057,81,0.0032586,20.4,26,5.7,105,190,3,43,1.5,0.0035308,0.000001,42600,54600,7.37,6,0.01,0.5,0.0025,8600,2.58,31.1,43,32.9,3.16,0.31,33.4,15700,3.35,402,0.09,0.1,0.5,780,28000,3.3,33,58.7,10,0.0005,0.0016846,651,0.16,5.9,6.3,0.002,97,36,0.019,0.05,9.4,20,0.029,1.5,190,59.32,6,50,0.00319,27.9,250,100.03,1,0.6,0.029,14,10,2590,0.82,0.25,95.3,0.5,9.1,1.9,80.9,149,"950819  ","Smirnov",30,36,"RUS","NE","RIDGE","UPBRLOW","S","BI..",4,0,"S","..WIJU","C..BGML","PSSC","M5",3,"2_4",6,2,"FLUVG",,,-9999,-9999,,5,,24,"RAIN",10,1,506,0,4,0.0127279220613579,0.025,101.823376490863,0.0636396103067892,16.465,0.773028974270139,0,0.001,0,28.2842712474619,720,7.85674201318386
647,182,476859.5,7496872,0.007,2.5,23100,11.71,3.3,5,0.043,1.5,32.8,420,0.4,0.046,0.001,2,900,20000,3.25,0.019,36,0.0021908,27.8,39,3.4,402,630,2,47.1,0.8,0.0005,0.000001,37100,56500,7.74,4,0.03,0.5,0.0025,100,1.27,6.1,12,8.1,4.26,0.23,32.79,15200,5.85,478,0.13,0.1,0.5,80,16900,2.18,11,169,260,0.0005,0.0005,145,0.05,1.6,6,0.002,51,30,0.055,0.5,4.7,18,0.121,1.5,90,62.1,2.1,50,0.00325,5.3,250,99.46,0.25,0.25,0.0015,8,3.9,1480,0.91,1.1,85.8,0.5,3.3,1.4,35.2,115,0.006,2.5,27400,11.51,3.3,0.25,0.003,3,36.1,420,0.49,0.049,0.001,0.25,1180,30000,3.25,0.022,37,0.0041502,32.6,38,7.1,471,760,1,55.6,0.8,0.0005,0.000001,44100,58000,8.2,4,0.03,0.5,0.0025,200,1.25,7.3,13,9.3,4.44,0.28,31.11,17800,6,563,0.14,0.1,0.5,100,19900,2.13,10,194,250,0.0005,0.0005,153,0.05,0.7,5.9,0.002,47,31,0.07,0.05,6.4,22,0.127,1.5,120,61.99,2.4,50,0.008012,6.3,250,99.84,0.9,0.25,0.018,9,3.7,1830,0.9,0.25,103,0.5,4.1,1.5,40.6,117,"950817  ","RPAV",200,35,"FIN","FLAT","FLAT","FLAT","MD","P.SBI",15,22,"NO","NO","CH.BCRLIN","HSDC","M10",2,"1.0_3.0",5,0.75,"TILL&SAP",,,,9,,25,,46,"DRY",18,3,65,8,51,0.000707106781186548,0.0065,21.7571317288168,0.14142135623731,11.61,2.43619907385547,0.0282842712474619,0.023,245.950184760538,0,420,0
681,190,467320,7844450,0.013,2.5,9210,10.09,1.3,1.8,0.001,1.5,44.3,570,0.22,0.054,0.001,11,930,5000,0.95,0.023,59,0.001,7.8,8,3.7,13.6,25,1,12.2,0.8,0.0005,0.000001,15000,19600,2.68,10,0.01,0.5,0.0025,2700,2.2,17.6,21,7.1,2.05,0.49,32.95,2780,0.6,251,0.07,0.1,0.5,60,15000,1.99,14,10.4,10,0.0005,0.0005,300,0.06,5.9,6.2,0.002,69,37,0.038,0.3,2.1,5.6,0.054,1.5,90,80.16,2.8,50,0.0031506,4.8,250,101.32,0.25,0.25,0.007,12,7.6,1100,0.47,1.7,18.3,0.5,8.5,3.2,30.8,80,0.049,2.5,9950,10.52,1.1,2.9,0.001,1.5,38.5,470,0.28,0.049,0.001,14,550,5000,0.94,0.017,98,0.0074582,6,7,6.8,13.6,30,2,11.8,0.9,0.0005,0.000001,13000,18900,2.41,12,0.03,0.5,0.0025,1900,2.13,23.9,32,7.9,2.64,0.57,31.8,2350,0.55,154,0.05,0.1,0.5,50,19000,2.03,20,10.3,10,0.0005,0.0005,187,0.04,4.7,5.3,0.002,76,44,0.04,0.3,2.1,7.6,0.1,1.5,220,77.34,3.9,50,0.0079716,3.9,250,99.14,0.25,0.25,0.005,14,11,1080,0.49,1.5,16.4,0.5,8.9,3.4,24.6,25,"950715  ","JHOJTV",80,35,"NOR","NW","SLOPE","CONVLOW","NO","NO",0,0,"NO","NO","C..ML","HSSC","M10",8,"5_10",5,3,"TILL",,,,14,,31,,43,"DRY",16,1,226,0,10,0.0254558441227157,0.031,164.231252404618,0.304055915910215,10.305,5.90113373915993,0,0.001,0,70.7106781186548,520,27.1964146610211
